Health System,Hospital,State,URL,Site,Contact Info,Notes,Contacted
Advanist Health,CENTRAL VALLEY GENERAL HOSPITAL,CA,null,https://www.adventisthealth.org/about-us/contact/,email form,,Yes
Standalone,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,CA,null,https://losrobleshospital.com/about/contact.dot,email form,,Yes
Standalone,EAST LOS ANGELES DOCTORS HOSPITAL,CA,null,https://www.eladoctorshospital.com/contact-us/,,Contact form appears broken??,No
Standalone,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,CA,null,https://www.sch-hollywood.com/hospital-price-transparency/,Hollywood-Cares@AltaHospitals.com,,Yes
Standalone,KINDRED HOSPITAL BALDWIN PARK,CA,null,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-baldwin-park/contact-us,,ReCapta is borken,No
Standalone,LAKEWOOD REGIONAL MEDICAL CENTER,CA,https://www.atexinsight.com/0KWzU5A,https://www.lakewoodregional.com/,,,Found file unable to verify
Standalone,MONROVIA MEMORIAL HOSPITAL,CA,null,http://monroviamemorial.com/patients-and-visitors/price-transparency/,form,,Yes
AHMC Healthcare,MONTEREY PARK HOSPITAL,CA,null,https://www.montereyparkhosp.com/,form,,Yes
Stars Behavioral Group,STAR VIEW ADOLESCENT - P H F,CA,null,https://www.starsinc.com/contact-us/,info@starsinc.com,,Yes
Standalone,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CA,https://www.cdmpricing.com/046a96f334a4551654371792ac1ca472/standard-charges,https://www.coronaregional.com/,form, interface is not a file,Yes
Standalone,MODOC MEDICAL CENTER,CA,null,https://modocmedicalcenter.org/contact/,form,,Yes
Standalone,SALINAS VALLEY MEMORIAL HOSPITAL,CA,null,https://www.svmh.com/,form,lacked a message point,Maybe?
,CORPUS CHRISTI SPECIALTY HOSPITAL,TX,,,,,
,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,CA,,,,,
,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,CA,,,,,
,KINDRED HOSPITAL BREA,CA,,,,,
,KINDRED HOSPITAL WESTMINSTER,CA,,,,,
,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,CA,,,,,
,CHARLTON MEMORIAL HOSPITAL,GA,,,,,
,DAUTERIVE HOSPITAL,LA,,,,,
,CROCKETT MEDICAL CENTER,TX,,,,,
,CENTRAL LOUISIANA STATE HOSPITAL,LA,,,,,
,REEVES MEMORIAL MEDICAL CENTER,LA,,,,,
,SERENITY SPRINGS SPECIALTY HOSPITAL,LA,,,,,
,RIVERBRIDGE SPECIALTY HOSPITAL,LA,,,,,
,CITIZENS MEDICAL CENTER,LA,,,,,
,BROWN MEMORIAL CONVALESCENT CENTER,GA,,,,,
,COLLEGE MEDICAL CENTER,CA,,,,,
,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,CA,,,,,
,KINDRED HOSPITAL PARAMOUNT,CA,,,,,
,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,CA,,,,,
,PINCKNEYVILLE COMMUNITY HOSPITAL,IL,,,,,
,ST JOSEPH'S HOSPITAL - SAVANNAH,GA,,,,,
,KINDRED HOSPITAL ROME,GA,,,,,
,UPSON REGIONAL MEDICAL CENTER,GA,,,,,
,PHOEBE SUMTER MEDICAL CENTER,GA,,,,,
,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,GA,,,,,
,SOUTHEASTERN REGIONAL MEDICAL CENTER,GA,,,,,
,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,CAROLINA,,,,,
,BROWN CTY COMMUNITY TREATMENT CENTER,WI,,,,,
,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WI,,,,,
,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,BAYAMON,,,,,
,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,LA,,,,,
,OCSHNER ST. ANNE GENERAL HOSPITAL,LA,,,,,
,FELICIANA FORENSIC FACILITY,LA,,,,,
,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,LA,,,,,
,RIPON MEDICAL CENTER,WI,,,,,
,VA MEDICAL CENTER - PROVIDENCE,RI,,,,,
,TOMAH VA MEDICAL CENTER,WI,,,,,
,ASCENSION GOOD SAMARITAN HLTH CTR,WI,,,,,
,RESTPADD PSYCHIATRIC HEALTH FACILITY,CA,,,,,
,THE CHAMPION CENTER,CA,,,,,
,STEWART WEBSTER HOSPITAL,GA,,,,,
,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,CA,,,,,
,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,CA,,,,,
,ST. BERNARDINE MEDICAL CENTER,CA,,,,,
,KAISER FND HOSP - SAN DIEGO,CA,,,,,
,SCRIPPS GREEN HOSPITAL,CA,,,,,
,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,CA,,,,,
,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,CA,,,,,
,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,CA,,,,,
,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,CA,,,,,
,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,CA,,,,,
,ST. MARY'S MEDICAL CENTER,SAN FRANCISCO,,,,,
,KAISER FND HOSP - SANTA ROSA,CA,,,,,
,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,CA,,,,,
,WOODLAND MEMORIAL HOSPITAL,CA,,,,,
,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,CA,,,,,
,SAN LEANDRO HOSPITAL,CA,,,,,
,ST. ROSE HOSPITAL,CA,,,,,
,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,CA,,,,,
,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,CA,,,,,
,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,CA,,,,,
,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,CA,,,,,
,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,CA,,,,,
,KAISER PERMANENTE PANORAMA CITY,CA,,,,,
,PROVIDENCE TARZANA MEDICAL CENTER,CA,,,,,
,SHRINERS HOSPITAL FOR CHILDREN - L.A.,CA,,,,,
,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,CA,,,,,
,ADVENTIST HEALTH CLEARLAKE,CA,,,,,
,VALLEY CHILDREN'S HOSPITAL,CA,,,,,
,EISENHOWER MEDICAL CENTER,CA,,,,,
,GOOD SAMARITAN HOSPITAL-SAN JOSE,CA,,,,,
,KAISER FND HOSP - SANTA CLARA,CA,,,,,
,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,CA,,,,,
,KAISER FND HOSP - REDWOOD CITY,CA,,,,,
,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CA,,,,,
,SUTTER DELTA MEDICAL CENTER,CA,,,,,
,KAISER FND HOSP - SACRAMENTO,CA,,,,,
,SIERRA NEVADA MEMORIAL HOSPITAL,CA,,,,,
,LA PALMA INTERCOMMUNITY HOSPITAL,CA,,,,,
,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,CA,,,,,
,FREMONT MEDICAL CENTER,CA,,,,,
,PIEDMONT MOUNTAINSIDE HOSPITAL,GA,,,,,
,ST MARYS HEALTH CARE SYSTEM,GA,,,,,
,RIDGEVIEW INSTITUTE,GA,,,,,
,WESTERLY HOSPITAL,RI,,,,,
,ST MARYS HOSPITAL MADISON,WI,,,,,
,AURORA PSYCHIATRIC HSPTL,WI,,,,,
,COLUMBIA CENTER,WI,,,,,
,THEDACARE MEDICAL CENTER BERLIN,WI,,,,,
,MERCY HOSPITAL ROGERS,AR,,,,,
,ST CROIX REG MED CTR,WI,,,,,
,WESTFIELDS HOSPITAL,WI,,,,,
,ST NICHOLAS HOSPITAL,WI,,,,,
,VERNON MEM HSPTL,WI,,,,,
,PIH HOSPITAL - DOWNEY,CA,,,,,
,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,CA,,,,,
,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,CA,,,,,
,ASCENSION NE WISCONSIN MERCY CAMPUS,WI,,,,,
,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,WASHINGTON,,,,,
,ADVENT HEALTH DADE CITY,FL,,,,,
,DELRAY MEDICAL CENTER,FL,,,,,
,POINCIANA MEDICAL CENTER,FL,,,,,
,ARBOUR FULLER HOSPITAL,MA,,,,,
,ARBOUR HUMAN RESOURCE INSTITUTE,MA,,,,,
,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,FL,,,,,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,FL,,,,,
,NATCHAUG HOSPITAL,MANSFIELD CENTER,,,,,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,FL,,,,,
,SHRINERS' HOSPITAL FOR CHILDREN,MA,,,,,
,SPAULDING REHABILITATION HOSPITAL,MA,,,,,
,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,MA,,,,,
,BAY RIDGE HOSPITAL BEVERLY,MA,,,,,
,ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,MA,,,,,
,T J HEALTH COLUMBIA,KY,,,,,
,DECATUR COUNTY HOSPITAL,IA,,,,,
,ANDERSON COUNTY HOSPITAL,KS,,,,,
,KEARNY COUNTY HOSPITAL,KS,,,,,
,OTTAWA COUNTY HEALTH CENTER,KS,,,,,
,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,MA,,,,,
,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,MA,,,,,
,NORWOOD HOSPITAL,MA,,,,,
,SPAULDING REHABILITATION HOSPITAL CAPE COD,MA,,,,,
,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,MA,,,,,
,SHRINERS' HOSPITAL FOR CHILDREN,MA,,,,,
,MERCY HOSPITAL FORT SMITH,AR,,,,,
,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,AR,,,,,
,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,AR,,,,,
,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,AR,,,,,
,RIVER VALLEY MEDICAL CENTER,AR,,,,,
,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,AR,,,,,
,MERCY HOSPITAL BERRYVILLE,AR,,,,,
,EUREKA SPRINGS HOSPITAL,AR,,,,,
,SOUTHEAST REHABILITATION HOSPITAL,AR,,,,,
,BRADLEY COUNTY MEDICAL CENTER,AR,,,,,
,FIVE RIVER MEDICAL CENTER,AR,,,,,
,DALLAS COUNTY MEDICAL CENTER,AR,,,,,
,CRITTENDEN HOSPITAL ASSOCIATION,AR,,,,,
,OUACHITA CO. MEDICAL CENTER,AR,,,,,
,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,,,,,
,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,,,,,
,PIGGOTT COMMUNITY HOSPITAL,AR,,,,,
,BAPTIST HEALTH - HEBER SPRINGS,AR,,,,,
,ST. VINCENT MORRILTON,AR,,,,,
,UAMS MEDICAL CENTER,AR,,,,,
,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,AR,,,,,
,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,AR,,,,,
,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,AR,,,,,
,HOT SPRINGS REHABILITATION CENTER,AR,,,,,
,CHI ST VINCENT HOSPITAL HOT SPRINGS,AR,,,,,
,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,AR,,,,,
,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,AR,,,,,
,JEFFERSON REGIONAL MEDICAL CENTER,AR,,,,,
,HEALTHSOUTH REHABILITATION HOSPITAL,AR,,,,,
,MEMORIAL HEALTH UNIV MED CEN,SAVANNAH,,,,,
,VANTAGE POINT OF NORTHWEST ARKANSAS,AR,,,,,
,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,AR,,,,,
,ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,WI,,,,,
,MENA REGIONAL HEALTH SYSTEM,AR,,,,,
,MERCY HOSPITAL BOONEVILLE,AR,,,,,
,MERCY HOSPITAL PARIS,AR,,,,,
,CROSSRIDGE COMMUNITY HOSPITAL,AR,,,,,
,BAPTIST HEALTH REHABILITATION INSTITUTE,AR,,,,,
,ASCENSION SACRED HEART REHAB INST,WI,,,,,
,SANTA CRUZ VALLEY HOSPITAL,AZ,,,,,
,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,,,,,
,CASEY COUNTY HOSPITAL,KY,,,,,
,MARCUM AND WALLACE MEMORIAL HOSPITAL,KY,,,,,
,HIGHLANDS REGIONAL MEDICAL CENTER,KY,,,,,
,NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,KY,,,,,
,SAINTS MARY & ELIZABETH HOSPITAL,KY,,,,,
,THE BROOK - DUPONT,KY,,,,,
,BAPTIST HEALTH LA GRANGE,KY,,,,,
,ADCARE HOSPITAL OF WORCESTER INC,MA,,,,,
,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,MA,,,,,
,AMESBURY HEALTH CENTER,MA,,,,,
,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,MA,,,,,
,ARBOUR HOSPITAL,BOSTON,,,,,
