Health System,Hospital,URL
Advanist Health,CENTRAL VALLEY GENERAL HOSPITAL,null
Standalone,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,null
Standalone,EAST LOS ANGELES DOCTORS HOSPITAL,null
Standalone,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,null
Standalone,KINDRED HOSPITAL BALDWIN PARK,null
Standalone,LAKEWOOD REGIONAL MEDICAL CENTER,https://www.atexinsight.com/0KWzU5A
Standalone,MONROVIA MEMORIAL HOSPITAL,null
AHMC Healthcare,MONTEREY PARK HOSPITAL,null
Stars Behavioral Group,STAR VIEW ADOLESCENT - P H F,null
Standalone,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,https://www.cdmpricing.com/046a96f334a4551654371792ac1ca472/standard-charges
Standalone,MODOC MEDICAL CENTER,null
Standalone,SALINAS VALLEY MEMORIAL HOSPITAL,null
,CORPUS CHRISTI SPECIALTY HOSPITAL,
,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,
,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,
,KINDRED HOSPITAL BREA,
,KINDRED HOSPITAL WESTMINSTER,
,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,
,CHARLTON MEMORIAL HOSPITAL,
,DAUTERIVE HOSPITAL,
,CROCKETT MEDICAL CENTER,
,CENTRAL LOUISIANA STATE HOSPITAL,
,REEVES MEMORIAL MEDICAL CENTER,
,SERENITY SPRINGS SPECIALTY HOSPITAL,
,RIVERBRIDGE SPECIALTY HOSPITAL,
,CITIZENS MEDICAL CENTER,
,BROWN MEMORIAL CONVALESCENT CENTER,
,COLLEGE MEDICAL CENTER,
,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,
,KINDRED HOSPITAL PARAMOUNT,
,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,
,PINCKNEYVILLE COMMUNITY HOSPITAL,
,ST JOSEPH'S HOSPITAL - SAVANNAH,
,KINDRED HOSPITAL ROME,
,UPSON REGIONAL MEDICAL CENTER,
,PHOEBE SUMTER MEDICAL CENTER,
,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,
,SOUTHEASTERN REGIONAL MEDICAL CENTER,
,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,
,BROWN CTY COMMUNITY TREATMENT CENTER,
,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,
,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,
,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,
,OCSHNER ST. ANNE GENERAL HOSPITAL,
,FELICIANA FORENSIC FACILITY,
,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,
,RIPON MEDICAL CENTER,
,VA MEDICAL CENTER - PROVIDENCE,
,TOMAH VA MEDICAL CENTER,
,ASCENSION GOOD SAMARITAN HLTH CTR,
,RESTPADD PSYCHIATRIC HEALTH FACILITY,
,THE CHAMPION CENTER,
,STEWART WEBSTER HOSPITAL,
,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,
,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,
,ST. BERNARDINE MEDICAL CENTER,
,KAISER FND HOSP - SAN DIEGO,
,SCRIPPS GREEN HOSPITAL,
,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,
,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,
,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,
,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,
,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,
,ST. MARY'S MEDICAL CENTER,
,KAISER FND HOSP - SANTA ROSA,
,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,
,WOODLAND MEMORIAL HOSPITAL,
,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,
,SAN LEANDRO HOSPITAL,
,ST. ROSE HOSPITAL,
,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,
,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,
